UID,Country,Country.region,City,Date.announced,Date.started,Date.ended,End.circumstance,Description,Initiative.name,Primary.type,Action,Function,Application,Category,Space,Time,Intensity,Scale,Infrastructure.affected,Management,Length.km,Trigger,Policy,Selection.process,Anticipated.longevity,Purpose,Strategy,Budget,Approach,Sector.type,Sources,Comments,Public.engagement,Verified.local,Date.verified,Corrected,Date.corrected,Verifier.role,Contact.info,Lessons.learned,Corrections,Perception,Mode.type,Modes,Modes.other,Partners,Governments,For.profits,Non.profits,World.region,Country.code,Country.region.code,TC.CP.2021,,,,,,OriginalUID,OriginalID,all.IDs
933,Netherlands,,Rotterdam,6/2/2020,6/2/2020,,,"TC: 3000 new bikes/scooters deployed at transit hubs. MW: To prevent crowding on public transit, the city of Rotterdam's Rotterdamse Elektrische Tram (RET) partners with micromobility providers, Check, Donkey Republic, felyx and GO Sharing, and Rotterdam Ahoy to ensure 1,500 shared bikes and 1,500 electric shared scooters are available to rent. The devices are placed at more than 25 public transit hubs.. ML: NA",Rotterdam provides shared micromobility to prevent transit crowding,Other mobility-related strategies,Other strategies: bike share,access to bikes,bike share,Financial,N/A,unknown,N/A,entire city,,unknown,,Strategic response (to fast-track previous policies),New action,Based on demand,Unknown,Moving people,Other,,unknown,unknown,"https://www.ret.nl/home/reizen/van-en-naar-de-halte/bereikbaar.html , https://www.ret.nl/home/reizen/van-en-naar-de-halte/bereikbaar.html",,,,,,,,,,,,Shared modes,,,"Rotterdamse Elektrische Tram (RET), City of Rotterdam, Check, Donkey Republic, felyx, GO Sharing, Rotterdam Ahoy",2,5,,Europe & Central Asia,NL,,1,,,,,,1015,MW142,"MW142, TC794"
934,United States,Washington,Seattle,6/2/2020,,,,TC: “Nearly 75% of walk signals in Urban Centers and Hub Urban Villages will now display a walk signal every time there is a green light for cars”. MW: NA. ML: NA,,Automated walk signals,Automated walk signals,other bike/ped supports,automated walk signals,Operational,Intersection,All day every day,No ban of any vehicles (shared space),entire city,Pedestrian overpasses,Signage (horizontal or vertical),,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Automation,,N/A,unknown,https://www.theurbanist.org/2020/06/02/city-bypasses-beg-button-in-a-victory-for-advocates/,,,,,,,,,,,,,,,0,,,,North America,US,US-WA,1,,,,,,1016,TC671,TC671
935,Netherlands,,Utrecht,6/2/2020,6/2/2020,,,TC: pop-up bike lanes. MW: One roadway in Utrecht has been closed for motorized traffic and opened up for cyclists so that cyclists have more space.. ML: NA,Temporary transformation of car lane into space for bicycles,Full street closures,Closed streets to motor vehicles,street space for ped/bike,full street: pedbike,Physical,Entire Roadway,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Signage (horizontal or vertical),,Anticipated response,New action,Input or request from community,Temporary,Moving people,Change of use,,Modifications to or reallocation of public infrastructure,unknown,"https://www.utrecht.nl/bestuur-en-organisatie/coronavirus/maatregelen-coronavirus/meer-ruimte-voor-voetgangers-en-fietsers/ , https://www.utrecht.nl/bestuur-en-organisatie/coronavirus/maatregelen-coronavirus/meer-ruimte-voor-voetgangers-en-fietsers/",,,,,,,,,,,,Public space,,,City of Utrecht,1,,,Europe & Central Asia,NL,,1,,,,,,1017,MW152,MW152
936,United States,Maryland,Annapolis,6/3/2020,,,,TC: streets in 4 areas of central Annapolis closed to motor vehicles every evening for outdoor dining for the forseeable future. MW: NA. ML: NA,,Full street closures,"Dedicated public space to outdoor dining,Closed streets to motor vehicles",street space for commerce,full street: commerce,Physical,Entire Roadway,Specific hours during daytime,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Arbitrary,Unknown,Economic recovery,Change of use,,N/A,unknown,https://www.washingtonpost.com/goingoutguide/to-expand-dining-options-restaurants-take-to-the-streets/2020/06/24/fb8ac7b6-b617-11ea-aca5-ebb63d27e1ff_story.html,,,,,,,,,,,,,,,0,,,,North America,US,LR-MY,1,,,,,,1018,TC814,TC814
937,Portugal,,Lisbon,6/3/2020,,,,TC: removing parking spaces to create space for outdoor dining. MW: NA. ML: NA,,Curb space reallocation,"Dedicated public space to outdoor dining,Reallocated outer lane/curb space",street space for commerce,parking lane: commerce,Physical,Parking lane,unknown,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Input or request from community,Unknown,Economic recovery,Change of use,,N/A,unknown,https://www.forbes.com/sites/carltonreid/2020/06/04/lisbon-latest-city-to-rein-back-car-use-with-34-miles-of-pop-up-cycleways-installed-by-september/#14af1b83cef4,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,PT,,1,,,,,,1019,TC633,TC633
938,Portugal,,Lisbon,6/3/2020,6/3/2020,,,"TC: adding 7,740 new bicycle parking spots. MW: The Lisbon city council is adding emergency bicycle lanes and bicycle parking spaces as well as introducing a fund to subsidize the purchase of bikes. The goal of these measures is to increase the amount of journeys made by bikes in order to reduce air pollution.. ML: NA",Lisbon takes measures to support cycling and walking post-lockdown,Other mobility-related strategies,Other strategies: bicycle parking,access to bikes,bike parking,Physical,1+ travel lanes,All day every day,N/A,entire city,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Based on demand,Indefinite,Moving people,Other,,unknown,unknown,"https://www.lisboa.pt/fileadmin/atualidade/noticias/user_upload/Apresentacao_do_plano_de_transformacao_do_espaco_publico.pdf , https://www.forbes.com/sites/carltonreid/2020/06/04/lisbon-latest-city-to-rein-back-car-use-with-34-miles-of-pop-up-cycleways-installed-by-september/#14af1b83cef4",,,,,,,,,,,,Active,,,City Council of Lisbon,1,,,Europe & Central Asia,PT,,1,,,,,,1020,MW167,"MW167, TC636"
939,Portugal,,Lisbon,6/3/2020,,,,TC: dedicated 3mil euros to subsidize bicycle purchases by residents. MW: NA. ML: NA,,"Legal, policy, enforcement, funding changes",Other strategies: subsidizing bicycle purchases/repair,access to bikes,subsidize bike,Financial,N/A,unknown,N/A,entire city,,unknown,,Anticipated response,New action,Arbitrary,Unknown,Moving people,Other,3497,N/A,unknown,https://www.forbes.com/sites/carltonreid/2020/06/04/lisbon-latest-city-to-rein-back-car-use-with-34-miles-of-pop-up-cycleways-installed-by-september/#14af1b83cef4,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,PT,,1,,,,,,1021,TC637,TC637
940,Portugal,,Lisbon,6/3/2020,,,,TC: IN PROGRESS installing 34km of pop-up bike lane over the summer. MW: NA. ML: NA,,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,curb space: pedbike,Physical,Curb,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Moving people,Change of use,,N/A,unknown,https://www.forbes.com/sites/carltonreid/2020/06/04/lisbon-latest-city-to-rein-back-car-use-with-34-miles-of-pop-up-cycleways-installed-by-september/#14af1b83cef4,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,PT,,1,,,,,,1022,TC635,TC635
941,Portugal,,Lisbon,6/3/2020,,,,TC: speed limit to be lowered to 18kph citywide. MW: NA. ML: NA,,"Legal, policy, enforcement, funding changes",Reduced speed limit,other bike/ped supports,speed limit,Regulatory,Entire Roadway,All day every day,No ban of any vehicles (shared space),entire city,Road space (includes bridges),Signage (horizontal or vertical),,Anticipated response,New action,Arbitrary,Unknown,Safety,Other,,N/A,Public sector action,https://www.forbes.com/sites/carltonreid/2020/06/04/lisbon-latest-city-to-rein-back-car-use-with-34-miles-of-pop-up-cycleways-installed-by-september/#14af1b83cef4,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,PT,,1,,,,,,1023,TC634,TC634
942,Spain,,Madrid,6/3/2020,6/3/2020,,,"TC: 4800 e-bikes being distributed around the city for resident/commercial use. MW: The City of Madrid is distributing 4,800 e-bikes to promote active mobility and to reduce air pollution from cars. With this measure, cyclists are able to hire bikes more easily. Madrid intends to stimulate the use of bikes, which could contribute to a reduction of cars used and improve the city's air quality.. ML: NA",Introduction of e-bikes to keep the city moving post-lockdown,Other mobility-related strategies,Other strategies: bike share,access to bikes,bike share,Financial,N/A,All day every day,N/A,entire city,,unknown,,Opening up after lockdown,New action,Based on demand,One time implementation,Moving people,Other,,Modifications to services,unknown,"https://www.madrid.es/portales/munimadrid/es/Inicio/El-Ayuntamiento/Todas-las-noticias/El-Ayuntamiento-autoriza-el-despliegue-de-4-800-bicicletas-electricas-por-toda-la-ciudad/?vgnextfmt=default&vgnextoid=cf46c5fe2a572710VgnVCM1000001d4a900aRCRD&vgnextchannel=e40362215c483510VgnVCM2000001f4a900aRCRD , https://www.madrid.es/portales/munimadrid/es/Inicio/El-Ayuntamiento/Todas-las-noticias/El-Ayuntamiento-autoriza-el-despliegue-de-4-800-bicicletas-electricas-por-toda-la-ciudad/?vgnextfmt=default&vgnextoid=cf46c5fe2a572710VgnVCM1000001d4a900aRCRD&vgnextchannel=e40362215c483510VgnVCM2000001f4a900aRCRD",,,,,,,,,,,,Active,Bicycle / e-bicycle,,"Municipality of Madrid, BiciMAD",1,1,,Europe & Central Asia,ES,,1,,,,,,1024,MW183,"MW183, TC775"
943,Mexico,,Puebla,6/3/2020,,,,TC: IN PROGRESS: 26km of bike lanes to be increased to 50km by end of 2020. MW: NA. ML: NA,,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,traffic lanes: pedbike,Physical,1+ travel lanes,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Permanent infrastructure,,Reactive response (to higher contagion),New action,Arbitrary,Permanent,Moving people,Change of use,,N/A,unknown,"https://twitter.com/normancv2/status/1268219645225349120 , https://twitter.com/Urbvalerdi/status/1269302158140354562",,,,,,,,,,,,,,,0,,,,Latin America & Caribbean,MX,0,1,,,,,,1025,TC624,TC624
944,Belgium,,Antwerp,,6/4/2020,,,"TC: NA. MW: The city of Antwerp will speed up the construction of 19 km of new bicycle streets to guarantee social distancing for cyclists. Plans to transform streets into cycling lanes already existed, but the process is accelerated due to the urgency to keep distance between passengers during the COVID-19 crisis. The bicycle infrastructure in Antwerp also includes markings to show cyclists and motorists what lanes are intended for cyclists only.. ML: NA",Antwerp to roll out 19 km of bicycle streets this summer,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,traffic lanes: pedbike,Physical,1+ travel lanes,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Permanent infrastructure,,Strategic response (to fast-track previous policies),Fast track pre-covid plan,Based on previous studies,Temporary,Moving people,Change of use,,Modifications to or reallocation of public infrastructure,unknown,https://www.antwerpen.be/nl/info/5ed8d8ddca74594e6e748ad3/19-km-nieuwe-fietsstraten-in-antwerpen,,,,,,,,,,,,Public space,,,City of Antwerp,1,,,Europe & Central Asia,BE,,1,,,,,,1026,MW015,MW015
945,United Kingdom,Scotland,Glasgow,6/4/2020,,,,TC: Removing 1/3 of the city's on-street parking to create additional space for socially-distanced walking. MW: NA. ML: NA,,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,parking lane: pedbike,Physical,Parking lane,All day every day,100% banning of cars,entire city,Road space (includes bridges),unknown,,Opening up after lockdown,New action,Arbitrary,Unknown,Public health,Change of use,,N/A,unknown,https://www.bbc.com/news/uk-scotland-glasgow-west-52921978,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,GB,,1,,,,,,1027,TC627,TC627
946,United States,North Carolina,Asheville,6/5/2020,6/18/2020,,,TC: Shared Streets for commerce and recreation (pedestrians have priority over vehicles). MW: NA. ML: NA,,Full street closures,"Dedicated public space to outdoor dining,Closed streets to motor vehicles",street space for commerce,full street: commerce,Physical,Entire Roadway,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Based on demand,Temporary,Economic recovery,Change of use,,Modifications to or reallocation of public infrastructure,unknown,https://www.ashevillenc.gov/department/communication-public-engagement/projects-and-initiatives/public-space-usage-during-covid-19-supporting-ashevilles-recovery/,,,,,,,,,,,,,,,0,,,,North America,US,US-NC,1,,,,,,1029,TC859,TC859
947,United Kingdom,Wales,Cardiff,,6/5/2020,,,"TC: NA. MW: Pedestrians in Cardiff's city center will need to follow signed/marked routes to ensure physical distancing is observed. The main pedestrian access points to the city are provided with information on how the city centre works, how it should be visited in a safe way, a walking plan, hand-washing facilities and more.. ML: NA",Cardiff creates one-way sidewalks for pedestrians,Other mobility-related strategies,Other strategies: one way walking,restrict ped/bike mobility,restricted transit,Operational,Curb,All day every day,N/A,one or more neighborhoods,Sidewalk,Signage (horizontal or vertical),,Opening up after lockdown,New action,Input or request from community,Unknown,Public health,Mobility restriction,,Modifications to or reallocation of public infrastructure,unknown,https://www.cardiffnewsroom.co.uk/releases/c25/24027.html,,,,,,,,,,,,Public space,,,Cardiff Council,1,,,Europe & Central Asia,GB,,1,,,,,,1031,MW200,MW200
948,United Kingdom,Scotland,Edinburgh,,6/5/2020,,,"TC: NA. MW: The city of Edinburgh Council introduced temporary measures to protect public health and to support social distancing. To get a clear overview of where measures have to be introduced, the city created an interactive map on which people can add suggestions for locations in their neighbourhood where temporary measures are necessary.. ML: NA",Interactive map to indicate safe travel routes,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Various,N/A,N/A,N/A,N/A,,unknown,,Reactive response (to higher contagion),New action,Input or request from community,Temporary,Public health,Other,,Using information and data,unknown,https://edinburghspacesforpeople.commonplace.is/,,,,,,,,,,,,Active,,,"Sustrans Scotland, Transport Scotland and The City of Edinburgh Council.",2,,1,Europe & Central Asia,GB,GB-SC,0,,,,,,1032,MW205,MW205
949,United States,New York,Ithaca,6/5/2020,,,,TC: One block in downtown Ithaca is closed to support oudoor dining. MW: NA. ML: NA,,Full street closures,"Dedicated public space to outdoor dining,Closed streets to motor vehicles",street space for commerce,full street: commerce,Physical,Entire Roadway,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Input or request from community,Temporary,Economic recovery,Change of use,,N/A,unknown,https://www.ithaca.com/news/ithaca/update-city-closing-aurora-street-for-outdoor-dining-starting-june-25/article_c91981ca-a6ac-11ea-8f78-43a6a1cf6ead.html,,,,,,,,,,,,,,,0,,,,North America,US,US-NY,1,,,,,,1033,TC747,TC747
950,United States,Pennsylvania,Mechanicsburg,6/5/2020,,,,TC: daily road closure of a section of Railroad aVe for outdoor dining. MW: NA. ML: NA,,Full street closures,"Dedicated public space to outdoor dining,Closed streets to motor vehicles",street space for commerce,full street: commerce,Physical,Entire Roadway,Only weekends,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Input or request from community,Unknown,Economic recovery,Change of use,,N/A,unknown,https://www.wgal.com/article/mechanicsburg-closes-railroad-avenue-for-outdoor-dining-area/32780983,,,,,,,,,,,,,,,0,,,,North America,US,US-PA,1,,,,,,1034,TC825,TC825
951,Argentina,,Mendoza,6/5/2020,,,,"TC: construction of new bike path, which will expand the city's bike network to 65km. MW: NA. ML: NA",,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,traffic lanes: pedbike,Physical,1+ travel lanes,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Arbitrary,Permanent,Moving people,Change of use,,N/A,unknown,https://www.mdzol.com/sociedad/2020/6/5/capital-suma-mas-bicicletas-ciclovias-para-agilizar-el-transito-83858.html,,,,,,,,,,,,,,,0,,,,Latin America & Caribbean,AR,0,1,,,,,,1035,TC631,TC631
952,Portugal,,Porto,,6/5/2020,,,"TC: NA. MW: After being suspended for a time, tram lines in Porto will begin reopening. The reopening plan includes the mandatory use of face masks; maximum passenger occupancy up to two thirds capacity; ticket payment solely by ATM; general disinfection of trams with aerial spraying during the day and nebulisation during the evenings; open windows during rides; compliance with social distancing measures; as well as hand sanitizers in vehicles.. ML: NA",Safety measures on trams,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Various,unknown,All day every day,unknown,entire city,,unknown,,Opening up after lockdown,N/A,Based on demand,Unknown,Public health,Other,,Modifications to services,unknown,http://www.porto.pt/noticias/saturday-might-well-be-the-right-day-for-a-tram-ride-as-they-are-back-on-track-starting-on-6th-june,,,,,,,,,,,,Transit,Light-rail,,Municipality of Porto,1,,,Europe & Central Asia,PT,,0,,,,,,1036,MW171,MW171
953,United States,California,San Jose,6/5/2020,6/5/2020,,,"TC: sidewalks/private parking lots can be used for outdoor dining. MW: The City of San Jose is temporarily relaxing existing regulations to allow the use of outdoor areas next to businesses. The initiative was created through an emergency declaration signed on June 4, 2020. Under the relaxed rules, many businesses without existing permits for outdoor operations or seating can register free of charge to expand their operations outside in privately owned outdoor areas, such as a parking lot, and use public sidewalks for temporary seating. The temporary rules go into effect at 12:01 a.m. on Friday, June 5, 2020 and last through Dec. 31, 2020, unless the local emergency ends earlier or the city reinstates existing regulations.. ML: NA",San Jose Al Fresco' program launched to allow businesses to expand operating space,Reallocation of non-street space,Dedicated public space to outdoor dining,other commerce supports,sidewalk: commerce,Physical,Sidewalk,All day every day,N/A,one or more streets,Sidewalk,Temporary barriers,,Opening up after lockdown,New action,Input or request from community,Temporary,Economic recovery,Change of use,,unknown,unknown,"https://www.sjeconomy.com/why-san-jose/covid-19-guidance/sj-alfresco-initiative , verification needed",,,,,,,,,,,,Public space,Bus,,City of San Jose,1,,,North America,US,US-CA,1,,,,,,1037,MW282,"MW282, TC464"
954,United States,California,San Jose,6/5/2020,,,,"TC: sidewalks/private parking lots can be used for outdoor dining. MW: NA. ML: A number of measures under consideration, geared towards helping restaurants",,Reallocation of non-street space,Dedicated public space to outdoor dining,other commerce supports,sidewalk: commerce,Physical,Private,All day every day,N/A,one or more streets,Road space (includes bridges),Temporary barriers,,Strategic response (to fast-track previous policies),New action,Input or request from community,Temporary,Economic recovery,Change of use,,unknown,unknown,"verification needed , https://www.mercurynews.com/2020/05/08/closing-streets-taking-over-sidewalks-san-jose-proposes-plan-for-outdoor-dining-amid-coronavirus/",,,,,,,,,,,,Public space,,,0,,,,North America,US,US-CA,1,,,,,,1039,ML046,"ML046, TC464"
955,United States,District of Columbia,"Washington, D.C.",6/5/2020,,,,TC: DCPW repainted the surface of 16th street to reinforce the role of streets as a critical public space.. MW: NA. ML: NA,,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,Entire roadway,All day every day,No ban of any vehicles (shared space),one or more streets,Road space (includes bridges),Signage (horizontal or vertical),,Reactive response (to higher contagion),New action,Based on demand,Unknown,unknown,Other,,N/A,unknown,https://www.nbcwashington.com/news/local/dc-paints-black-lives-matter-on-street-near-lafayette-square-street-renamed-black-lives-matter-way/2323647/,,,,,,,,,,,,,,,0,,,,North America,US,,0,,,,,,1041,TC629,TC629
956,Germany,,Bochum,6/6/2020,,,,TC: pop-up bike lane. MW: NA. ML: NA,,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,curb space: pedbike,Physical,Curb,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Arbitrary,Unknown,Moving people,Change of use,,N/A,unknown,https://twitter.com/CarstenKrinke/status/1269317959035600896,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,DE,,1,,,,,,1042,TC638,TC638
957,Japan,,Tokyo,6/6/2020,,,,TC: NA. MW: NA. ML: NA,,Reallocation of non-street space,Dedicated public space to outdoor dining,other commerce supports,non-street: commerce,Operational,Sidewalk,All day every day,N/A,one or more streets,Road space (includes bridges),Permanent infrastructure,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Economic recovery,Change of use,,N/A,unknown,https://twitter.com/RuiIZUMIYAMA/status/1269210996763029505,,,,,,,,,,,,,,,0,,,,East Asia & Pacific,JP,,1,,,,,,1043,TC632,TC632
958,Netherlands,,Amsterdam,,6/8/2020,,,TC: NA. MW: The municipality of Amsterdam has taken measures to provide more space for cyclists and pedestrians in bicycle sheds. Arrows and ribbons are placed to show walking routes and some bicycle stands are removed to make sure people keep their distance from each other.. ML: NA,Measures in bicycle sheds to provide more space,Other mobility-related strategies,Other strategies: one way walking,misc,miscellaneous,Operational,unknown,All day every day,N/A,one or more neighborhoods,Road space (includes bridges),Signage (horizontal or vertical),,Anticipated response,New action,Arbitrary,Unknown,Public health,Other,,Modifications to or reallocation of public infrastructure,unknown,https://www.amsterdam.nl/nieuws/nieuwsoverzicht/fietsparkeren-1-5-meter/,,,,,,,,,,,,Public space,Bicycle / e-bicycle,,Municipality of Amsterdam,1,,,Europe & Central Asia,NL,,1,,,,,,1044,MW135,MW135
959,United States,Ohio,Athens,6/8/2020,,,,"TC: proposed city ordinance to allow businesses to apply for permits to convert parking spaces to ""parklets"" and outdoor dining opportunities for their customers.. MW: NA. ML: NA",,Curb space reallocation,"Dedicated public space to outdoor dining,Reallocated outer lane/curb space",street space for commerce,parking lane: commerce,Physical,Parking lane,unknown,100% banning of cars,unknown,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Arbitrary,Temporary,Economic recovery,Change of use,,N/A,unknown,n/a,"Ordinance will cover duration of Summer 2020, but may also include this as an option for future summers.",,,,,,,"City Planner, Paul Logue",,,,,,,0,,,,North America,US,US-OH,1,,,,,,1045,TC652,TC652
960,Philippines,,Cebu,6/8/2020,,,,TC: removed bicycle registration requirements. MW: NA. ML: NA,,"Legal, policy, enforcement, funding changes",Other strategies: legal changes,other bike/ped supports,legal changes,Regulatory,N/A,All day every day,N/A,entire city,,unknown,,Opening up after lockdown,New action,Arbitrary,Unknown,unknown,Special permit,,N/A,unknown,https://www.sunstar.com.ph/article/1859461,,,,,,,,,,,,,,,0,,,,East Asia & Pacific,PH,,1,,,,,,1046,TC650,TC650
961,Philippines,,Cebu,6/8/2020,,,,TC: New bike lanes. MW: NA. ML: NA,,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,traffic lanes: pedbike,Physical,1+ travel lanes,All day every day,100% banning of cars,one or more neighborhoods,Road space (includes bridges),Permanent infrastructure,,Opening up after lockdown,New action,Arbitrary,Permanent,Moving people,Change of use,,N/A,unknown,https://www.sunstar.com.ph/article/1859461,,,,,,,,,,,,,,,0,,,,East Asia & Pacific,PH,0,1,,,,,,1047,TC649,TC649
962,United States,North Carolina,Charlotte,,6/8/2020,,,"TC: NA. MW: The Charlotte Area Transit System will expand some bus and light rail schedules, which have been reduced during the novel coronavirus pandemic. Free rides will also end with fares that had been waived to be charged again. On weekends, bus service will stay on the regular schedules. Express buses will continue to operate on the current, reduced schedule.. ML: NA","Charlotte Area Transit System to return fares, increase bus and light rail service",Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Various,N/A,N/A,N/A,metropolitan area or county,,unknown,,Reactive response (to higher contagion),New action,Based on demand,Indefinite,Moving people,Other,,unknown,unknown,https://charlottenc.gov/cats/bus/schedule-change/Pages/schedule-change.aspx,,,,,,,,,,,,Transit,,,Charlotte Area Transit System,1,,,North America,US,US-NC,0,,,,,,1048,MW407,MW407
963,Portugal,,Porto,6/8/2020,,,,TC: car free zones on 16 streets in downtown & historic districts. MW: NA. ML: NA,,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,traffic lanes: pedbike,Physical,1+ travel lanes,All day every day,100% banning of cars,entire city,Road space (includes bridges),Temporary barriers,,Strategic response (to fast-track previous policies),New action,Arbitrary,Temporary,Moving people,Change of use,,N/A,unknown,http://www.porto.pt/noticias/find-out-how-porto-is-redesigning-urban-space-,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,PT,0,1,,,,,,1049,TC797,TC797
964,Mexico,,San Luis Potosí,6/8/2020,,,,TC: Pop-up bike lanes. MW: NA. ML: NA,,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,curb space: pedbike,Physical,Curb,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Reactive response (to higher contagion),New action,Based on previous studies,Unknown,Moving people,Change of use,,N/A,unknown,https://voxpopulislp.com/2020/06/08/se-pone-en-marcha-programa-de-ciclovias-temporales/,,,,,,,,,,,,,,,0,,,,Latin America & Caribbean,MX,,1,,,,,,1051,TC648,TC648
965,United States,District of Columbia,"Washington, D.C.",6/8/2020,,,,"TC: 7 streets to be converted to ""slow streets,"" limited to local traffic wiht speeds limited to <15mph. MW: NA. ML: 5 miles to start, 15 miles to be added over the summer",,Partial street closures,Filtered/banned non-local traffic,street space for ped/bike,partial street: pedbike,Operational,Entire Roadway,All day every day,Only resident vehicles allowed,one or more streets,Road space (includes bridges),Temporary barriers,32,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Safety,Change of use,,Modifications to regulations,unknown,https://dcist.com/story/20/06/08/d-c-is-getting-5-miles-of-slow-streets-for-recreation-social-distancing/,,,,,,,,,,,,Public space,,,0,,,,North America,US,,1,,,,,,1052,ML241,"ML241, TC647"
966,United States,Massachusetts,Edgartown,6/9/2020,,,,TC: restaurants can use sidewalk space for outdoor dining. MW: NA. ML: NA,,Reallocation of non-street space,Dedicated public space to outdoor dining,other commerce supports,sidewalk: commerce,Physical,Sidewalk,All day every day,N/A,one or more streets,Sidewalk,Temporary barriers,,Opening up after lockdown,New action,Input or request from community,Unknown,Economic recovery,Change of use,,N/A,unknown,https://vineyardgazette.com/news/2020/06/09/edgartown-adopts-policy-outdoor-dining-downtown-summer,,,,,,,,,,,,,,,0,,,,North America,US,US-MA,1,,,,,,1054,TC831,TC831
967,India,,Kolkata,6/9/2020,,,,TC: some lanes on key routes dedicated to cycling during the daytime. MW: NA. ML: NA,,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,traffic lanes: pedbike,Physical,1+ travel lanes,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Arbitrary,Temporary,Moving people,Change of use,,N/A,unknown,"https://twitter.com/Raahgiri_Fdn/status/1271015329951449088 , https://timesofindia.indiatimes.com/city/kolkata/govt-to-allow-cycling-on-more-roads-to-ease-commuting-woes/articleshow/76272639.cms",,,,,,,,,,,,,,,0,,,,South Asia,IN,0,1,,,,,,1055,TC669,TC669
968,United States,California,Los Altos,6/9/2020,,,,"TC: some streets closed thu/sun for outdoor dining, retail. MW: NA. ML: NA",,Full street closures,"Dedicated public space to outdoor dining,Closed streets to motor vehicles",street space for commerce,full street: commerce,Physical,Entire Roadway,Only weekends,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Input or request from community,Unknown,Economic recovery,Change of use,,N/A,unknown,https://www.losaltosonline.com/news/sections/news/297-news-features/62662-los-altos-mtn-view-ok-street-closures-for-outdoor-dining,,,,,,,,,,,,,,,0,,,,North America,US,US-CA,1,,,,,,1056,TC837,TC837
969,United States,California,Mountain View,6/9/2020,,,,TC: some streets closed thu/sun for outdoor dining & retail. MW: NA. ML: NA,,Full street closures,"Dedicated public space to outdoor dining,Closed streets to motor vehicles",street space for commerce,full street: commerce,Physical,Entire Roadway,Only weekends,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Input or request from community,Unknown,Economic recovery,Change of use,,N/A,unknown,https://www.losaltosonline.com/news/sections/news/297-news-features/62662-los-altos-mtn-view-ok-street-closures-for-outdoor-dining,,,,,,,,,,,,,,,0,,,,North America,US,US-CA,1,,,,,,1057,TC838,TC838
970,Philippines,,nationwide,6/9/2020,,,,TC: Local governments are now required to establish comprehensive bicycling and walking networks; failure to do so is violation of Bayanihan act. MW: NA. ML: NA,,"Legal, policy, enforcement, funding changes",Other strategies: legal changes,other bike/ped supports,legal changes,Regulatory,N/A,unknown,N/A,entire city,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,unknown,Special permit,,N/A,unknown,https://www.rappler.com/nation/263319-dilg-orders-lgus-build-bike-lanes-warns-changes-not-followed,,,,,,,,,,,,,,,0,,,,East Asia & Pacific,PH,,1,,,,,,1058,TC653,TC653
